yr,r,ec,units,value
1997,hi,CURCHG,billions of us dollars (USD),0.776421
1997,hi,MSCREV,billions of us dollars (USD),0.3599
1997,hi,UTLREV,billions of us dollars (USD),0.0
1997,hi,LIQREV,billions of us dollars (USD),0.0
1997,hi,INSREV,billions of us dollars (USD),1.173588
1997,hi,TOTEXP,billions of us dollars (USD),6.093375
1997,hi,INTEXP,billions of us dollars (USD),0.156055
1997,hi,CUROPR,billions of us dollars (USD),3.902225
1997,hi,CAPOUT,billions of us dollars (USD),0.833357
1997,hi,INSBEN,billions of us dollars (USD),0.672194
1997,hi,SUBSID,billions of us dollars (USD),0.201247
1997,hi,INTRST,billions of us dollars (USD),0.328297
1997,hi,SALARY,billions of us dollars (USD),1.678578
1997,hi,GENEXP,billions of us dollars (USD),5.420946
1997,hi,EDUCAT,billions of us dollars (USD),1.557019
1997,hi,PUBWEL,billions of us dollars (USD),0.983336
1997,hi,HOSPTL,billions of us dollars (USD),0.237641
1997,hi,HEALTH,billions of us dollars (USD),0.276988
1997,hi,HGHWAY,billions of us dollars (USD),0.321658
1997,hi,POLICE,billions of us dollars (USD),0.007019
1997,hi,CORREC,billions of us dollars (USD),0.127535
1997,hi,NATRES,billions of us dollars (USD),0.071097
1997,hi,PARKRC,billions of us dollars (USD),0.144309
1997,hi,GOVADM,billions of us dollars (USD),0.248081
1997,hi,INTGEN,billions of us dollars (USD),0.328297
1997,hi,OTHUNA,billions of us dollars (USD),1.117966
1997,hi,UTLEXP,billions of us dollars (USD),0.000235
1997,hi,LIQEXP,billions of us dollars (USD),0.0
1997,hi,INSEXP,billions of us dollars (USD),0.672194
1997,hi,DEBTFY,billions of us dollars (USD),5.252711
1997,hi,CASHSH,billions of us dollars (USD),10.842971
1997,id,TOTREV,billions of us dollars (USD),4.289173
1997,id,GENREV,billions of us dollars (USD),3.401841
1997,id,INTREV,billions of us dollars (USD),0.849475
1997,id,TAXREV,billions of us dollars (USD),1.960505
1997,id,GSALES,billions of us dollars (USD),0.622192
1997,id,SSALES,billions of us dollars (USD),0.301793
1997,id,LICTAX,billions of us dollars (USD),0.147586
1997,id,INDTAX,billions of us dollars (USD),0.711657
1997,id,CORTAX,billions of us dollars (USD),0.138277
1997,id,OTHTAX,billions of us dollars (USD),0.039
1997,id,CURCHG,billions of us dollars (USD),0.291299
1997,id,MSCREV,billions of us dollars (USD),0.300562
1997,id,UTLREV,billions of us dollars (USD),0.0
1997,id,LIQREV,billions of us dollars (USD),0.048112
1997,id,INSREV,billions of us dollars (USD),0.83922
1997,id,TOTEXP,billions of us dollars (USD),3.67421
1997,id,INTEXP,billions of us dollars (USD),1.06719
1997,id,CUROPR,billions of us dollars (USD),1.746045
1997,id,CAPOUT,billions of us dollars (USD),0.296889
1997,id,INSBEN,billions of us dollars (USD),0.385035
1997,id,SUBSID,billions of us dollars (USD),0.0768
1997,id,INTRST,billions of us dollars (USD),0.102251
1997,id,SALARY,billions of us dollars (USD),0.580651
1997,id,GENEXP,billions of us dollars (USD),3.250563
1997,id,EDUCAT,billions of us dollars (USD),1.345736
1997,id,PUBWEL,billions of us dollars (USD),0.599005
1997,id,HOSPTL,billions of us dollars (USD),0.037764
1997,id,HEALTH,billions of us dollars (USD),0.092562
1997,id,HGHWAY,billions of us dollars (USD),0.396677
1997,id,POLICE,billions of us dollars (USD),0.032247
1997,id,CORREC,billions of us dollars (USD),0.10251
1997,id,NATRES,billions of us dollars (USD),0.11591
1997,id,PARKRC,billions of us dollars (USD),0.020473
1997,id,GOVADM,billions of us dollars (USD),0.118619
1997,id,INTGEN,billions of us dollars (USD),0.102251
1997,id,OTHUNA,billions of us dollars (USD),0.286809
1997,id,UTLEXP,billions of us dollars (USD),0.0
1997,id,LIQEXP,billions of us dollars (USD),0.038612
1997,id,INSEXP,billions of us dollars (USD),0.385035
1997,id,DEBTFY,billions of us dollars (USD),1.598125
1997,id,CASHSH,billions of us dollars (USD),7.294362
1997,il,TOTREV,billions of us dollars (USD),39.038066
1997,il,GENREV,billions of us dollars (USD),32.068167
1997,il,INTREV,billions of us dollars (USD),8.713602
1997,il,TAXREV,billions of us dollars (USD),18.54457
1997,il,GSALES,billions of us dollars (USD),5.295943
1997,il,SSALES,billions of us dollars (USD),3.500197
1997,il,LICTAX,billions of us dollars (USD),1.2151
1997,il,INDTAX,billions of us dollars (USD),6.28677
1997,il,CORTAX,billions of us dollars (USD),1.803931
