yr,r,pg,units,value
1997,ga,foo,billions of us dollars (USD),13.26
1997,ga,clo,billions of us dollars (USD),7.3355
1997,ga,enr,billions of us dollars (USD),4.5824
1997,ga,ong,billions of us dollars (USD),11.3875
1997,ga,ser,billions of us dollars (USD),86.9212
1997,ga,hce,billions of us dollars (USD),86.4242
1997,ga,utl,billions of us dollars (USD),25.673
1997,ga,hea,billions of us dollars (USD),21.1363
1997,ga,trn,billions of us dollars (USD),4.1121
1997,ga,rsr,billions of us dollars (USD),4.3786
1997,ga,htl,billions of us dollars (USD),10.3244
1997,ga,fsr,billions of us dollars (USD),8.8775
1997,ga,osr,billions of us dollars (USD),11.9224
1997,ga,npish,billions of us dollars (USD),0.497
1997,ga,npi,billions of us dollars (USD),10.659
1997,ga,nps,billions of us dollars (USD),10.162
1997,hi,pce,billions of us dollars (USD),25.8884
1997,hi,gds,billions of us dollars (USD),8.8778
1997,hi,dur,billions of us dollars (USD),2.702
1997,hi,mvp,billions of us dollars (USD),0.8865
1997,hi,hdr,billions of us dollars (USD),0.6161
1997,hi,rec,billions of us dollars (USD),0.7564
1997,hi,odg,billions of us dollars (USD),0.443
1997,hi,ndr,billions of us dollars (USD),6.1758
1997,hi,foo,billions of us dollars (USD),2.6205
1997,hi,clo,billions of us dollars (USD),0.9874
1997,hi,enr,billions of us dollars (USD),0.5155
1997,hi,ong,billions of us dollars (USD),2.0524
1997,hi,ser,billions of us dollars (USD),17.0106
1997,hi,hce,billions of us dollars (USD),16.1686
1997,hi,utl,billions of us dollars (USD),4.7396
1997,hi,hea,billions of us dollars (USD),3.8267
1997,hi,trn,billions of us dollars (USD),0.8687
1997,hi,rsr,billions of us dollars (USD),0.916
1997,hi,htl,billions of us dollars (USD),1.3506
1997,hi,fsr,billions of us dollars (USD),1.8176
1997,hi,osr,billions of us dollars (USD),2.6493
1997,hi,npish,billions of us dollars (USD),0.842
1997,hi,npi,billions of us dollars (USD),2.701
1997,hi,nps,billions of us dollars (USD),1.859
1997,id,pce,billions of us dollars (USD),21.1212
1997,id,gds,billions of us dollars (USD),8.8007
1997,id,dur,billions of us dollars (USD),3.4121
1997,id,mvp,billions of us dollars (USD),1.5464
1997,id,hdr,billions of us dollars (USD),0.6933
1997,id,rec,billions of us dollars (USD),0.8182
1997,id,odg,billions of us dollars (USD),0.3541
1997,id,ndr,billions of us dollars (USD),5.3886
1997,id,foo,billions of us dollars (USD),2.2852
